CompName,closedate,OppStage,OppName,Desc,amount,prob
Rhyloo,8/30/22,Lost,Operative context-sensitive info-mediaries,deliver end-to-end niches,7281746,60
Riffwire,3/11/22,Discovery,Function-based non-volatile access,facilitate dot-com e-markets,7111286,40
Gigaclub,11/17/22,Discovery,Cross-group multimedia software,streamline viral models,3875361,20
Geba,12/12/22,Lost,Multi-tiered zero tolerance parallelism,unleash visionary architectures,9605338,60
Dynazzy,5/13/22,Won,Cross-group logistical encoding,evolve efficient networks,3778250,60
Wikizz,2/12/23,Discovery,Switchable local matrix,expedite holistic bandwidth,8760159,60
Wikizz,10/31/22,Discovery,Secured local monitoring,grow cross-platform paradigms,3251493,100
Zoomzone,2/26/22,Lost,User-friendly upward-trending alliance,scale best-of-breed relationships,2033113,100
Rhynyx,8/24/22,Open,Managed intangible capability,extend wireless markets,4852239,40
Aimbu,1/31/23,Upside,Robust tertiary solution,grow ubiquitous schemas,9906168,100
Livefish,2/16/22,Commit,Distributed human-resource implementation,synthesize innovative infrastructures,4057799,40
Dabjam,3/26/22,Commit,Reactive incremental alliance,transform distributed metrics,5265322,20
Thoughtbeat,4/11/22,Open,Devolved mobile monitoring,evolve next-generation interfaces,7195408,100
Jaxspan,1/14/22,Open,Sharable grid-enabled encryption,monetize 24/7 models,6039336,20
Flipopia,2/2/22,Won,Open-source asymmetric data-warehouse,incubate plug-and-play bandwidth,1804875,80
Kare,11/9/22,Lost,Programmable solution-oriented budgetary management,optimize global mindshare,9530152,60
Pixoboo,11/26/22,Open,Realigned optimal neural-net,monetize distributed relationships,2247531,60
Trupe,10/13/22,Won,Monitored radical alliance,synergize world-class models,2094841,60
Rhybox,2/6/23,Commit,Open-architected cohesive adapter,enable granular communities,842202,40
Twinder,8/23/22,Open,Quality-focused multi-tasking neural-net,recontextualize distributed synergies,2993199,100
Meetz,1/4/23,Open,Versatile bottom-line flexibility,scale global relationships,2878638,20
Dabjam,12/10/22,Discovery,Assimilated real-time data-warehouse,envisioneer back-end paradigms,7858916,20
Skibox,1/18/23,Upside,Visionary attitude-oriented complexity,repurpose bricks-and-clicks channels,2151678,80
Yoveo,1/24/23,Open,Adaptive uniform Graphical User Interface,generate out-of-the-box e-commerce,7991022,100
Flashdog,9/18/22,Lost,Cross-group responsive capacity,engineer real-time bandwidth,4946854,80
Photobug,3/25/22,Upside,Networked tangible access,grow holistic infrastructures,7109100,80
Oodoo,12/23/22,Upside,Customer-focused reciprocal focus group,integrate dynamic web services,4285007,100
Agivu,3/16/22,Won,Streamlined 5th generation model,reintermediate leading-edge mindshare,8953334,100
Linkbuzz,4/20/22,Upside,Balanced even-keeled Graphic Interface,benchmark plug-and-play functionalities,2570921,100
Kimia,2/28/23,Discovery,Ameliorated explicit help-desk,architect B2C e-tailers,6500842,40
Meevee,7/5/22,Commit,Grass-roots reciprocal capacity,transform best-of-breed supply-chains,6698214,60
Jetpulse,1/23/23,Commit,Polarised context-sensitive hierarchy,strategize visionary architectures,1981902,60
Twiyo,2/25/23,Upside,Horizontal even-keeled migration,whiteboard open-source action-items,1277451,80
Riffpedia,1/8/22,Lost,De-engineered 24/7 superstructure,cultivate one-to-one initiatives,5340429,80
Skinte,10/24/22,Won,Exclusive national core,incubate revolutionary supply-chains,6161525,80
Oyoloo,9/1/22,Discovery,Inverse disintermediate info-mediaries,revolutionize mission-critical systems,5962760,20
Avamm,5/18/22,Commit,Robust high-level structure,enhance customized infrastructures,8372985,40
Skimia,8/2/22,Discovery,Team-oriented radical contingency,embrace world-class architectures,6443516,40
Browseblab,5/11/22,Won,Diverse foreground archive,architect synergistic convergence,7780067,40
Skippad,2/15/23,Discovery,Phased explicit hierarchy,seize transparent e-tailers,6085129,80
Jaxspan,3/8/22,Discovery,Programmable human-resource forecast,transform cross-media e-business,3726858,20
Thoughtworks,12/2/22,Commit,Versatile responsive data-warehouse,benchmark granular models,7878393,20
Thoughtblab,2/9/23,Commit,Expanded multi-state pricing structure,orchestrate collaborative convergence,1171411,100
Realmix,5/16/22,Discovery,Programmable didactic hardware,matrix one-to-one ROI,1432353,20
Zoomlounge,7/4/22,Discovery,Ergonomic non-volatile artificial intelligence,incentivize robust e-markets,5303111,20
Jayo,6/18/22,Open,Operative demand-driven internet solution,incentivize virtual applications,4731217,40
Aimbo,3/8/23,Discovery,Up-sized systemic superstructure,morph enterprise bandwidth,2510097,100
Youspan,6/7/22,Commit,Configurable reciprocal database,iterate dot-com web-readiness,9301147,60
Brainbox,2/7/23,Discovery,Focused leading edge data-warehouse,unleash efficient channels,8439477,100
Demivee,12/29/22,Open,Intuitive composite contingency,generate B2B relationships,2283807,60
Skipfire,1/13/22,Discovery,Organic radical installation,leverage sticky partnerships,598657,20
Oba,5/23/22,Discovery,Open-source disintermediate paradigm,incubate strategic e-services,4953953,60
Quinu,2/13/23,Commit,Function-based transitional moratorium,brand end-to-end functionalities,6579576,20
Yakidoo,3/7/22,Won,Reactive dedicated hub,orchestrate best-of-breed portals,3668580,40
Edgewire,3/10/23,Upside,Robust discrete product,monetize intuitive mindshare,1217428,100
Topiclounge,1/12/23,Upside,De-engineered bandwidth-monitored encryption,scale sticky technologies,1844828,20
Jayo,9/7/22,Lost,Multi-layered content-based paradigm,mesh bricks-and-clicks models,5611752,40
